"","TICKER","gvkey"
"1","AAPL",1690
"2","AMGN",1602
"3","AXP",1447
"4","BA",2285
"5","CAT",2817
"6","CRM",2568
"7","CRM",3578
"8","CRM",157855
"9","CSCO",20779
"10","CSCO",20902
"11","CVX",2991
"12","DIS",3980
"13","DOW",34443
"14","GS",5169
"15","GS",114628
"16","HD",5680
"17","HON",5693
"18","HON",1300
"19","IBM",6066
"20","INTC",6008
"21","JNJ",6266
"22","JPM",2968
"23","JPM",7562
"24","KO",3144
"25","MCD",7154
"26","MMM",7435
"27","MRK",7257
"28","MSFT",12141
"29","NKE",7906
"30","PG",8762
"31","TRV",3243
"32","TRV",10552
"33","TRV",62689
"34","UNH",10903
"35","V",1416
"36","V",6186
"37","V",179534
"38","V",15763
"39","VZ",2136
"40","WBA",11264
"41","WMT",11259
