"","AAPL","AMGN","AXP","BA","CAT","CRM","CSCO","CVX","DIS","DOW","GS","HD","IBM","INTC","JNJ","JPM","KO","MCD","MMM","MRK","MSFT","NKE","PG","TRV","UNH","V","VZ","WBA","WMT"
"1996-01-02",0.28683,14.5625,12.108316,39.9375,14.875,NA,4.243055,26.4375,20.017729,NA,NA,10.527778,22.71875,7.328125,21.0625,19.583334,18.75,22.75,33.875,32.125,5.609375,4.445313,20.78125,28.25,8.078125,NA,30.464558,7.53125,11.625
"1996-01-03",0.28683,14.40625,12.108316,39.5625,15.125,NA,4.076389,26.5,20.141041,NA,NA,10.333333,22.3125,7.21875,21.90625,19.583334,18.90625,22.75,33.8125,31.6875,5.429688,4.3125,21.40625,28.625,8.109375,NA,31.42009,7.5,11.75
"1996-01-04",0.281808,13.78125,11.998904,38.5625,15,NA,3.923611,27.25,19.894417,NA,NA,10.305555,21.71875,7.1875,21.6875,18.75,18.75,22.875,33.6875,31.875,5.460938,4.265625,21.75,29,8.1875,NA,30.858011,7.40625,11.875
"1996-01-05",0.305804,14.09375,11.962433,39.25,15.25,NA,3.972222,27.6875,20.264355,NA,NA,10.055555,22.15625,7.1875,21.6875,18.666666,18.65625,22.5,33.75,31.5,5.398438,4.132813,21.84375,29.0625,7.859375,NA,31.195257,7.6875,11.6875
"1996-01-08",0.309152,13.859375,11.962433,40.125,15.1875,NA,3.934028,27.8125,20.387667,NA,NA,9.777778,22.28125,7.203125,21.96875,18.666666,18.78125,22.5625,33.5,31.9375,5.390625,4.203125,21.9375,29.1875,7.703125,NA,30.970427,7.625,11.6875
"1996-01-09",0.292411,13.53125,11.780079,39.679688,14.78125,NA,3.631944,27.921875,20.418495,NA,NA,9.666667,21.6875,6.875,22.09375,18.208334,18.53125,22.1875,33.015625,31.75,5.011719,4.117188,21.90625,28.9375,7.265625,NA,30.935297,7.5625,11.5
"1996-01-10",0.305804,13.1875,11.3789,38.375,14.625,NA,3.708333,26.5,19.606688,NA,NA,9.777778,21.8125,6.765625,21.375,18.041666,18.21875,21.8125,32.75,30.625,5.148438,4.101563,21.625,28.625,7.25,NA,30.689388,7.5,11.3125
"1996-01-11",0.3125,13.40625,11.524783,38.875,14.84375,NA,3.923611,26.5625,19.853313,NA,NA,9.722222,21.8125,7.109375,20.9375,18.041666,18.40625,22.0625,32.875,30.75,5.414063,4.25,21.28125,28.3125,7.265625,NA,30.914219,7.5,11.4375
"1996-01-12",0.302455,13.65625,11.3789,38.875,14.625,NA,3.923611,26.3125,19.73,NA,NA,9.666667,21.59375,7.078125,21.4375,18.541666,18.1875,22.25,32.5,31.0625,5.359375,4.21875,21.34375,27.875,7.09375,NA,30.914219,7.65625,11.125
"1996-01-15",0.304688,13.71875,11.305959,38.5,14.21875,NA,3.736111,26.5,19.73,NA,NA,9.666667,20.78125,6.671875,21.625,18.375,18.40625,22.0625,32.5,31.8125,5.15625,4.132813,21.40625,27.875,7.28125,NA,31.13905,7.625,11.125
"1996-01-16",0.308594,13.78125,11.561255,38,13.875,NA,3.805556,26.625,19.73,NA,NA,9.75,21.75,6.96875,21.6875,19.5,18.71875,22.3125,33.625,32.375,5.398438,4.179688,22.1875,28.8125,7.40625,NA,31.757336,7.65625,11.25
"1996-01-17",0.303571,13.90625,11.780079,38.1875,13.5625,NA,3.875,26.8125,19.565584,NA,NA,9.222222,21.90625,6.25,21.84375,19.833334,18.28125,23.1875,31.875,32.75,5.304688,4.21875,21.5625,28.5,7.453125,NA,31.532505,7.875,10.1875
"1996-01-18",0.285156,14.34375,12.181258,39.375,14.8125,NA,3.9375,26.6875,19.647791,NA,NA,9.444445,24.0625,6.375,21.6875,19.625,18.34375,24.6875,31.3125,32.625,5.476563,4.296875,21.53125,28.9375,7.578125,NA,31.42009,8.0625,9.625
"1996-01-19",0.266741,14.375,12.509496,39.1875,14.75,NA,4.208333,27,19.73,NA,NA,9.75,25.5,6.421875,21.59375,19.833334,18.34375,24.25,31.3125,32.75,5.742188,4.304688,21.71875,28.8125,7.390625,NA,31.082842,8.3125,9.9375
"1996-01-22",0.272321,14,12.473025,39.5625,15.6875,NA,4.322917,26.8125,19.894417,NA,NA,9.833333,25.5625,6.5,21.6875,20.125,18.1875,24.0625,31.5,33.125,5.75,4.328125,21.59375,28.625,7.25,NA,30.576973,8.375,10.25
"1996-01-23",0.282366,14.4375,12.108316,38.8125,15.625,NA,4.326389,25.875,19.894417,NA,NA,10.166667,25.75,6.585938,21.9375,20.375,18.375,24.3125,31.25,33.4375,5.59375,4.320313,21.53125,28.5625,7.203125,NA,30.295935,8.125,10.1875
"1996-01-24",0.287946,14.4375,11.925962,38.5,15.5,NA,4.486111,25.875,19.976625,NA,NA,10.194445,26.75,6.84375,23.4375,20.666666,18.78125,24.3125,31.625,33.9375,5.703125,4.320313,22.0625,28.8125,7.578125,NA,30.745596,8.25,10
"1996-01-25",0.270089,14.5,11.889492,38.5,15.15625,NA,4.402778,26.1875,19.812208,NA,NA,10.138889,26.03125,6.828125,23.25,21.041666,18.40625,24.5,31.8125,33.4375,5.585938,4.3125,21.4375,28.875,7.625,NA,30.40835,8.1875,10
"1996-01-26",0.273438,14.875,12.582438,38.375,15.5625,NA,4.506945,26.25,19.976625,NA,NA,10.027778,26.1875,6.875,23.3125,21,18.625,25.125,32.625,33.9375,5.65625,4.3125,21.75,29.0625,7.75,NA,30.464558,8.375,10
